headline,description,timestamp,article_link,article_content,writer,date_published
Nuggets vs. Thunder Game 1: Aaron Gordon 3-pointer caps Denver comeback to steal Game 1 in Oklahoma City,Nikola Jokic was the best player on the floor with 42 points and 22 rebounds. NBC SPORTS,N/A,https://www.nbcsports.com/nba/news/aaron-gordon-3-pointer-caps-19-6-denver-run-to-come-from-behind-steal-game-1-in-oklahoma-city-121-119?cid=nbcnews,"In a span of less than five minutes Monday night, the “Oklahoma City isn’t ready for this” crowd got all the ammunition it needed. The Thunder led most of the night by double-digits, by 13 at one point in the fourth quarter and by 11 with 4:31 left after a Shai Gilgeous-Alexander 3-pointer. All OKC needed was its league-best defense to do its job and it would have another home playoff win. Then Denver went on a 19-6 run to close the game, capped off by another Aaron Gordon clutch moment, this one a game-winning 3-pointer. That combined with a 42-point, 22-rebound night from Nikola Jokic earned a resilient Denver Nuggets team a 121-119 road win and a 1-0 lead in this Western Conference Semi-Final series. Game 2 is Wednesday night in Oklahoma City. This is a heartbreaking loss for the Thunder, who were up by double-digits most of the night but could not close it out. “We’re gonna find out what we’re made of,” Gilgeous-Alexander said after the loss. He finished the night with 33 points on 12-of-26 shooting. If Oklahoma City wants to know why it lost, or if Denver wants to know why it won, there are two key things (in addition to Jokic being the best player on the court): 1) Offensive rebounds. Denver had 21 of them, leading to 27 second-chance points. Gordon had seven of those rebounds. 2) Missed free throws. Oklahoma City was 20-of-28 from the line, and no two misses were as critical as Chet Holmgren’s two with 9.5 seconds left in the game and the Thunder up one. Holmgren’s teammates rightly pointed out this game was not lost in the last 15 seconds; this was a night of mistakes by the Thunder that left the door open just enough for Aaron Gordon to come barging through and get the win. Gordon finished with 22 points and 14 rebounds for Denver, while Jamal Murray added 21 points and six assists. For the Thunder, after SGA’s 33, there was 20 off the bench from Alex Caruso, who also had five steals and played a fantastic game. Jalen Williams has to be better, 16 points on 5-of-20 shooting is not good enough. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 6, 2025 02:58 AM"
"Michael Strahan, Eli Manning prepare competing bids for Giants' minority stake",Two former teammates will soon be competing for a piece of their team. NBC SPORTS,N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/michael-strahan-eli-manning-prepare-competing-bids-for-giants-minority-stake?cid=nbcnews,"Two former teammates will now be competing to buy a piece of the team for which they played. Sportico reports that Hall of Fame defensive end Michael Strahan plans to make a bid for the 10-percent stake that the Giants are looking to sell. Strahan will partner with billionaire Marc Lasry in the effort to come up with the $750 million (or more) needed to buy one tenth of the team. Former Giants quarterback Eli Manning, who inevitably will join Strahan in Canton, has a separate bid in the works. He reportedly had “preliminary conversations” about joining Strahan’s group, but Eli ultimately decided to go it alone. The Strahan-Lasry combo is the latest example of the newest dynamic when it comes to minority NFL ownership, sparked by the ever-skyrocket value of teams. A rich guy with significant name recognition in league circles combines with a really rich guy with no existing pro football footprint to come up with the cash necessary to do the deal. Presumably, the Giants are looking for market value for the interest they’re selling. Raiders owner Mark Davis opted to give Tom Brady a steep discount for the value of his involvement in football operations. Most owners won’t leave that many millions on the table, when they can hire proven football executives for far, far less than that. Especially not for a player who never played for the team. In New York, where both Strahan and Manning have their numbers retired (unless and until the Giants draft a player who asks to wear it), the Giants likely won’t be retiring the age-old habit of seeking the best deal possible for what they are selling. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 6, 2025 09:22 AM"
"Jalen Milroe working to become a more ""efficient passer"" ahead of rookie season","Jalen Milroe was a successful quarterback at Alabama, but his ability to make plays with his feet led to discussion heading into the draft about whether he'd be used in other ways as an NFL player. NBC SPORTS",N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/jalen-milroe-working-to-become-a-more-efficient-passer-ahead-of-rookie-season?cid=nbcnews,"Jalen Milroe was a successful quarterback at Alabama, but his ability to make plays with his feet led to discussion heading into the draft about whether he’d be used in other ways as an NFL player. Milroe was adamant that he’s only a quarterback and Seahawks head coach Mike Macdonald said the same thing after Seattle took Milroe in the third round last month. That may settle one question, but it doesn’t guarantee that Milroe is going to get a chance to show that he can handle the starting job. The rookie has been working with quarterback coach Jordan Palmer to help his bid and Milroe explained some of what he’s been doing during the team’s rookie minicamp. “The biggest thing is everything works from the ground up at the quarterback position,” Milroe said, via Seattle Sports. “It’s understanding the lower-half mechanics of how I operate. Every quarterback is different, and so . . . it’s understanding how to distribute my body when it comes to the lower-half mechanics. That’s been a focus for us. It’s all about being an efficient passer. And so the more you work, the more you understand your body, you’re going to be more of an efficient passer. So that’s something that we continue to work on.” With Sam Darnold and Drew Lock on the roster in Seattle, practice reps are going to be limited for Milroe so his extracurricular work will be all the more significant as he tries to work his way onto the field. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 6, 2025 06:39 AM"
"Barry Sanders thinks Jahmyr Gibbs, David Montgomery can lead the Lions to a Super Bowl",Saquon Barkley's big season with the Eagles has led to renewed talk that NFL teams can ride a running back to the Super Bowl. NBC SPORTS,N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/barry-sanders-thinks-jahmyr-gibbs-david-montgomery-can-lead-the-lions-to-a-super-bowl?cid=nbcnews,"Saquon Barkley’s big season with the Eagles has led to renewed talk that NFL teams can ride a running back to the Super Bowl. Or in the case of the Lions, perhaps ride two running backs to the Super Bowl. Barry Sanders, who won only one playoff game during his Hall of Fame career with the Lions, told USA Today that he thinks the combination of Jahmyr Gibbs and David Montgomery can give the Lions a championship offense, revolving around its running game. “They’re the best duo in the NFL and there’s no reason that’s going to change any time soon,” Sanders said. “If a Super Bowl is in our future, in our near future, you would think those two guys would be a big part of it.” Sanders said he’s been a fan of Montgomery’s since before the Lions signed him, and that Gibbs showed when Montgomery missed time with a knee injury last season that he’s also more than capable of being a No. 1 running back. “David Montgomery, he’s been a great running back in the NFL for many years, and he just added to that coming over from the Bears and putting him with this Lions offensive line,” Sanders said. “And then, you see what Jahmyr Gibbs was able to do last season, really from the time, the last two years that he’s been here, but I felt like last year was more of a breakout season for him.” It was the Lions’ best regular season in almost 70 years, but it fizzled in the playoffs. If the Lions are ever going to get over the hump in the postseason, Sanders thinks it will be on the back of their running game. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 6, 2025 04:21 AM"
A second person has been charged with murder of reporter during Super Bowl week,Another suspect has been charged with killing a Kansas City-based reporter during Super Bowl week in New Orleans. NBC SPORTS,N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/a-second-person-has-been-charged-with-murder-of-reporter-during-super-bowl-week?cid=nbcnews,"Another suspect has been charged with killing a Kansas City-based reporter during Super Bowl week in New Orleans. Via the Associated Press, Louisiana authorities announced on Monday that Rickey White, 34, has been charged with second-degree murder in connection with the death of 27-year-old Adan Manzano, a reporter and anchor for Telemundo. White is the alleged accomplice of 48-year-old Danette Colbert, who was charged in March. That same month, White was arrested in Florida on robbery and fraud charges related to Manzano’s murder. White was then extradited to Louisiana. Attorney Kevin Boshea, who represents White, told the AP that he has not been informed of the murder charge. “I don’t think he’s guilty of the other crimes, so how can he be guilty of murder?” Boshea said. An autopsy revealed that Manzano died while face down in a pillow, after ingesting alcohol and Xanax. Surveillance video showed Manzano and Colbert entering Manzano’s hotel room on the day he died. Colbert left an hour later. Police say she then used Manzano’s credit cards to make purchases in the area. As noted by the AP, Louisiana law defines second-degree murder as, in part, distributing drugs that cause death or committing certain crimes, like robbery, that result in death. Authorities said that Manzano had no prescription for Xanax, and that Xanax was found at Colbert’s home. The murder charge against White could potentially result in a plea deal in exchange for testimony that would be used to convict Colbert. Or, if the evidence is deemed to be strong enough, prosecutors could try to get a murder conviction of both defendants. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 5, 2025 10:58 PM"
"Matthew Stafford, Rams will have another early offseason of uncertainty","In the NFL, no deal is ever done until it's done. NBC SPORTS",N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/matthew-stafford-rams-will-have-another-early-offseason-of-uncertainty?cid=nbcnews,"In the NFL, no deal is ever done until it’s done. Now that quarterback Matthew Stafford’s new deal with the Rams is officially done, the two-year deal will once again tee up the question, after the next season, of whether the Rams and Stafford are done. He ends up with $44 million this year, with no guarantees beyond 2025 — for injury or otherwise. The Rams will have until the fifth day of the next league year in March, when his 2026 salary of $40 million becomes fully guaranteed, to cut him. The Rams also will have the ability to trade Stafford, since they’ll hold his contractual rights through 2026. We don’t, and won’t, know whether the Rams have informally agreed to grant Stafford his outright release, if he decides he wants to finish his career elsewhere. If a new team can sign him without giving the Rams a draft pick or two, that’s more money they’ll be willing to pay Stafford next year. He could have gotten a firm $90 million (or more) on a two-year deal with the Raiders or Giants. But Stafford seems to be content to go one year at a time with the Rams, confident that another team (if not the Rams) will pay him fairly in 2026. It’s a good deal for the Rams. At $42 million per year on his new contract, Stafford currently ranks 15th in the NFL. And he’s still better than the 15th best quarterback. And Stafford, unlike plenty of starting quarterbacks, is willing to play in the current year with no financial security beyond it. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 5, 2025 09:31 PM"
NFL declines comment on proposed White House cuts to TBI research and education,Commissioner Roger Goodell went to Washington on Monday. NBC SPORTS,N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/nfl-declines-comment-on-proposed-white-house-cuts-to-tbi-research-and-education?cid=nbcnews,"Commissioner Roger Goodell went to Washington on Monday. While he was standing in the Oval Office, a report emerged from ESPN.com regarding a White House proposal to slash millions from the budget for traumatic brain injury research and education. In response to an email from PFT, the NFL has declined comment on the development. It’s really no surprise. The league seems to be fully committed to achieving peaceful coexistence with the current administration. At a time when a slew of executive orders have various industries scrambling, the NFL is trying to make no sudden moves. Speaking out against the potential elimination of federal funding for a cause about which the NFL claims to be passionate would fall into that category. It will be far better — and, in the grand scheme of things, cheaper — for the NFL to fund TBI research and education efforts on its own. It’s part of the complex, but not all that complicated, dance in which the NFL must engage to properly navigate the current political waters. Basically, the strategy consists of avoiding the iceberg. And everybody knows what the iceberg is. As Goodell’s comments from Monday’s event proved, he’s willing to say all the right things, not say any of the wrong things, swallow his pride in the presence of someone who once called him a “dope,” and chart a course toward open waters and far smoother sailing than the likes of Harvard and multiple major law firms are currently experiencing. It’s not difficult to do it, once the decision is made to play the game with the overriding goal of winning. And the rewards include not only the avoidance of overt pressure to dump the Rooney Rule but also a draft in D.C., a stadium in D.C., and four years without holding their breath and waiting for a broadside attack against the league’s interests. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 5, 2025 08:44 PM"
"Ravens made a ""football decision"" (wink, nod) about Justin Tucker","P.R. fallout be damned, the team carefully avoided a potential CBA issue. NBC SPORTS",N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/ravens-made-a-football-decision-wink-nod-about-justin-tucker?cid=nbcnews,"The Ravens have been in a delicate spot from the moment the first allegations surfaced in January against kicker Justin Tucker. On Monday, they made an indelicate exit from the relationship. On one hand, there have been no findings that Tucker has done anything wrong, in civil court, criminal court, or the Court of Commissioner Goodell. Indeed, Tucker has unequivocally denied the numerous accusations of misconduct during massage-therapy sessions. On the other hand, he plays a position that is as interchangeable as they come. Especially since Tucker has regressed from his previous perennial Pro Bowl-level performance. When faced with the choice between a run-of-the-mill kicker who is creating a significant distraction and is due to make $4.2 million this year and one who isn’t, it’s a no-brainer. And with run-of-the-mill kickers available anywhere and everywhere, the Ravens were always going to be moving on from Tucker. They opted to do the dance. To wait until after the start of the new league year in March, when Tucker could be released with a post-June 1 designation and significant 2025 cap savings. To wait until after they could use a sixth-round pick on Arizona kicker Tyler Loop, without their potential selection of a kicker during the draft being obvious. To wait until they could get a look at Loop during this weekend’s rookie minicamp. The fact that it was couched by G.M. Eric DeCosta as a “football decision” is no surprise. Players are released for football reasons all the time. There’s no mechanism in the Collective Bargaining Agreement for challenging the constant churn of football decisions. If the decision was influenced (as it likely was) in whole or in part by non-football reasons, the Ravens would have invited a potential CBA issue by saying so. At a minimum, Tucker could have argued under the “one punishment” principle that the team’s decision to release him in the aftermath of the allegations should short-circuit the pending Personal Conduct Policy investigation. (He still could.) This was all strategic and calculated by the Ravens, as all best-interests-of-the-team decisions are. After the Ravens’ 2024 playoff run ended, DeCosta said he expects Tucker to be the Ravens’ kicker in 2025. Then came the allegations. Instead of immediately applying a supposed “zero tolerance” policy to Tucker, the Ravens waited. They weathered a P.R. storm that was more like a light drizzle. And they were able to wait for the draft (and rookie minicamp) to come and go before making a move. On Sunday, Ravens coach John Harbaugh emphasized that the team would make football decisions only about Tucker. The next day, they made one. It most likely wasn’t only a football decision. But there’s no way to prove it, because the Ravens have said (and not said) all the right things about Tucker’s off-field situation. All that said, DeCosta’s statement seemed to be a little bit over the top. As noted by Brandon Kleen of AwfulAnnouncing.com, multiple members of the sports media have questioned the tone and content of the team’s announcement. The Ravens likely would prefer to be dragged until the next bright, shiny object distracts the media (i.e., tomorrow morning at the latest) than risk inviting an argument that they were influenced by Tucker’s off-field situation. Still, here’s what we (or at least I) think the Ravens would have said, if they were being candid and direct: “Justin has been a great kicker. Last year, he wasn’t as great as he’d been. We were willing to give him a chance to get back on track. But the off-field allegations became just too much. If it had been one or two people, we’d be willing to let it play out. But 16? It’s hard to think they all are lying, and he’s currently not good enough to justify circling the wagons until it plays out.” Obviously, they didn’t say it that way. And they’ll take some P.R. heat for it. Still, it will be very difficult for Tucker to do anything about it. And that likely has been the plan from the moment the Ravens realized they couldn’t and wouldn’t bring him back for 2025. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 5, 2025 07:50 PM"
Ravens will designate Justin Tucker as a post-June 1 cut,The Ravens announced Monday they are releasing kicker Justin Tucker. NBC SPORTS,N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/ravens-will-designate-justin-tucker-as-a-post-june-1-cut?cid=nbcnews,"The Ravens announced Monday they are releasing kicker Justin Tucker. Jeff Zrebiec of TheAthletic.com reports the team will designate Tucker as a post-June 1 release. The move will allow the Ravens to spread out Tucker’s $7.5 million in dead cap money — the biggest dead cap hit in NFL history for a kicker — over two years. Tucker’s $4.2 million salary in 2025 was not guaranteed, so the Ravens will gain $4.2 million in cap space for 2025. Tucker signed a four-year, $22 million contract extension in August 2022, making him the league’s highest-paid kicker at the time. He had three years remaining on the deal. The Ravens drafted kicker Tyler Loop in the sixth round nine days ago, signaling the end to Tucker’s career in Baltimore. Tucker, 35, is subject of an NFL investigation into allegations by 16 massage therapists of inappropriate sexual behavior. Tucker has denied the allegations. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 5, 2025 05:40 PM"
Ravens release Justin Tucker,"The move comes with Tucker under NFL investigation for misconduct, but the Ravens call it a football decision. NBC SPORTS",N/A,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/ravens-release-justin-tucker?cid=nbcnews,"Kicker Justin Tucker is no longer a member of the Ravens. Ravens General Manager Eric DeCosta announced Tucker’s release via a statement on Monday afternoon. The move comes a day after Ravens head coach John Harbaugh said that an NFL investigation into misconduct allegations against Tucker was still in progress and that any decisions the team made about Tucker remaining on the roster would be football decisions related to drafting Tyler Loop in the sixth round. DeCosta used the same language in his statement. “Sometimes football decisions are incredibly difficult, and this is one of those instances,” DeCosta said. “Considering our current roster, we have made the tough decision to release Justin Tucker. Justin created many significant and unforgettable moments in Ravens history. His reliability, focus, drive, resilience and extraordinary talent made him one of the league’s best kickers for over a decade. We are grateful for Justin’s many contributions while playing for the Ravens. We sincerely wish him and his family the very best in this next chapter of their lives.” Tucker joined the Ravens in 2012 and has been named a first-team All-Pro six times during a run that leaves him with the highest field goal percentage in NFL history. He was less effective in 2024 and adding those results to the ongoing investigation led to Monday’s decision in Baltimore. DISCLAIMER: This site and the products offered are for entertainment purposes only, and there is no gambling offered on this site. This service is intended for adult audiences. No guarantees are made for any specific outcome. If you or someone you know has a gambling problem, please call 1-800-GAMBLER.",,"Published May 5, 2025 05:06 PM"
